T,long,lat,Demand
ZC682,-67.15428,18.208402,7
ZC652,-66.61217,18.457453,3
ZC949,-66.2042,18.433173,13
ZC901,-66.10786,18.465426,4
ZC662,-67.01973,18.478855,8
ZC745,-65.82277,18.366213,10
ZC782,-66.2267,18.223348,5
ZC735,-65.65987,18.258444,4
ZC693,-66.3921,18.440667,10
ZC968,-66.1025,18.408479,3
ZC982,-65.99313,18.409345,4
ZC769,-66.3611,18.092813,8
ZC685,-66.98104,18.332595,8
ZC924,-66.01194,18.401917,9
ZC623,-67.15222,18.08643,9
ZC795,-66.50289,18.036253,9
ZC731,-66.61192,18.077329,4
ZC784,-66.12779,17.984137,8
ZC956,-66.16643,18.34216,11
ZC969,-66.10889,18.366981,8
ZC751,-66.26534,17.993803,5
ZC703,-66.12827,18.246205,6
ZC723,-66.0131,18.023196,5
ZC962,-66.13847,18.437683,5
ZC791,-65.82269,18.147257,9
ZC646,-66.27689,18.442798,8
ZC953,-66.23414,18.36802,13
ZC957,-66.18669,18.369674,8
ZC965,-66.11703,18.431453,3
ZC638,-66.49835,18.308139,5
ZC740,-65.62761,18.331711,3
ZC637,-66.94864,18.073078,6
ZC678,-66.93275,18.442334,6
ZC767,-65.89703,18.072752,7
ZC923,-66.03806,18.410681,6
ZC917,-66.0513,18.422263,5
ZC926,-66.0562,18.361363,15
ZC960,-66.166014,18.34487,3
ZC690,-67.09867,18.495369,3
ZC674,-66.48697,18.426137,8
ZC603,-67.13422,18.448619,9
ZC717,-66.61374,18.004303,5
ZC728,-66.65218,18.013353,8
ZC771,-65.87088,18.18744,8
ZC959,-66.15943,18.387063,9
ZC736,-66.15377,18.112895,9
ZC606,-66.9588,18.182151,3
ZC716,-66.59965,17.999066,6
ZC669,-66.87503,18.288418,6
ZC786,-66.268717,18.128092,2
ZC680,-67.12655,18.205232,9
ZC778,-65.97791,18.258628,9
ZC757,-66.39457,17.98631,6
ZC971,-66.11876,18.329688,6
ZC677,-67.23675,18.336121,4
ZC698,-66.85587,18.06547,7
ZC985,-65.94691,18.374896,7
ZC660,-67.12085,18.139108,5
ZC714,-66.05552,17.987288,5
ZC725,-66.04502,18.233927,14
